a_Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
FBtr0452138	bantam-3p	1041015	5875	5880	4931	4936	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	125945	5875	5880	5038	5043	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	28584	5875	5880	4508	4513	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	29029	5875	5880	5026	5031	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	29030	5875	5880	5062	5067	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	30023	5875	5880	5065	5070	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	30025	5874	5880	4631	4637	4	7mer-m8	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	30025	1
FBtr0452138	bantam-3p	30033	5875	5880	5095	5100	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	42026	5875	5880	5080	5085	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	7217	5875	5880	5095	5100	4	6mer	x	7mer-m8+6mer	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	7217 28584 29029 29030 30023 30025 30033 42026 125945 1041015	1
FBtr0452138	bantam-3p	1041015	8125	8134	6590	6596	5	7mer-1a	x	7mer-1a+6mer	28584 29030 30025 1041015	29030 1041015	1
FBtr0452138	bantam-3p	28584	8125	8133	6171	6176	5	6mer	x	7mer-1a+6mer	28584 29030 30025 1041015	28584 29030 30025 1041015	1
FBtr0452138	bantam-3p	29030	8125	8134	6733	6739	5	7mer-1a	x	7mer-1a+6mer	28584 29030 30025 1041015	29030 1041015	1
FBtr0452138	bantam-3p	30025	8125	8133	6309	6314	5	6mer	x	7mer-1a+6mer	28584 29030 30025 1041015	28584 29030 30025 1041015	1
FBtr0452138	bantam-3p	125945	10457	10468	8220	8225	6	6mer	x	6mer	28584 125945		0
FBtr0452138	bantam-3p	28584	10457	10468	6817	6822	6	6mer	x	6mer	28584 125945		0
FBtr0452138	bantam-3p	125945	1131	1136	1015	1020	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	28584	1131	1136	544	549	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	7220	1131	1136	1015	1020	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	7227	1131	1136	1015	1020	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	7238	1131	1136	1013	1018	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	7240	1131	1136	1015	1020	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	7245	1131	1136	1015	1020	7	6mer	x	6mer	7220 7227 7238 7240 7245 28584 125945		1
FBtr0452138	bantam-3p	30025	3197	3202	2466	2471	8	6mer	x	6mer	7222 7230 7244 30025		1
FBtr0452138	bantam-3p	7222	3197	3202	2559	2564	8	6mer	x	6mer	7222 7230 7244 30025		1
FBtr0452138	bantam-3p	7230	3197	3202	2490	2495	8	6mer	x	6mer	7222 7230 7244 30025		1
FBtr0452138	bantam-3p	7244	3197	3202	2475	2480	8	6mer	x	6mer	7222 7230 7244 30025		1
FBtr0452138	bantam-3p	7070	4789	4795	3497	3503	9	7mer-m8	x	7mer-m8	7070 7460		1
FBtr0452138	bantam-3p	7460	4789	4795	3196	3202	9	7mer-m8	x	7mer-m8	7070 7460		1
FBtr0452138	bantam-3p	7165	4695	4700	3897	3902	10	6mer	x	7mer-1a+6mer	7165 7460	7165 7460	1
FBtr0452138	bantam-3p	7460	4695	4701	3103	3109	10	7mer-1a	x	7mer-1a+6mer	7165 7460	7460	1
FBtr0452138	bantam-3p	7220	19380	19395	12227	12232	11	6mer	x	7mer-m8+6mer	7220 7227 7238 7240 7245	7220 7227 7238 7240 7245	0
FBtr0452138	bantam-3p	7227	19379	19395	12285	12291	11	7mer-m8	x	7mer-m8+6mer	7220 7227 7238 7240 7245	7227	0
FBtr0452138	bantam-3p	7238	19380	19395	12139	12144	11	6mer	x	7mer-m8+6mer	7220 7227 7238 7240 7245	7220 7227 7238 7240 7245	0
FBtr0452138	bantam-3p	7240	19380	19395	12111	12116	11	6mer	x	7mer-m8+6mer	7220 7227 7238 7240 7245	7220 7227 7238 7240 7245	0
FBtr0452138	bantam-3p	7245	19380	19395	12510	12515	11	6mer	x	7mer-m8+6mer	7220 7227 7238 7240 7245	7220 7227 7238 7240 7245	0
FBtr0452138	bantam-3p	125945	9079	9084	7356	7361	12	6mer	x	6mer	125945		1
FBtr0452138	bantam-3p	29029	8029	8038	6561	6567	13	7mer-m8	x	7mer-m8	29029		1
FBtr0452138	bantam-3p	30033	17249	17268	11482	11487	14	6mer	x	6mer	30033		0
FBtr0452138	bantam-3p	42026	6511	6517	5636	5642	15	7mer-1a	x	7mer-1a	42026		1
FBtr0452138	bantam-3p	7070	254	259	202	207	16	6mer	x	6mer	7070		1
FBtr0452138	bantam-3p	7165	5398	5403	4479	4484	17	6mer	x	6mer	7165		1
FBtr0452138	bantam-3p	7165	5860	5866	4937	4943	18	7mer-1a	x	7mer-1a	7165		1
FBtr0452138	bantam-3p	7260	2344	2354	1848	1853	19	6mer	x	6mer	7260		1
FBtr0452138	bantam-3p	7291	13355	13381	9506	9513	20	8mer-1a	x	8mer-1a	7291		0
FBtr0452138	bantam-3p	7291	18674	18680	12020	12026	21	7mer-m8	x	7mer-m8	7291		0
FBtr0452138	let-7-5p	1041015	13611	13617	9611	9617	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	125945	13611	13617	9765	9771	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	28584	13611	13617	8402	8408	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	29029	13611	13617	9803	9809	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	29030	13611	13617	9791	9797	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	30023	13611	13617	9798	9804	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	30025	13611	13617	9398	9404	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	30033	13611	13617	9786	9792	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	42026	13611	13617	9864	9870	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7217	13611	13617	9904	9910	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7220	13611	13617	9732	9738	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7222	13611	13617	9358	9364	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7227	13611	13617	9736	9742	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7229	13611	13617	10001	10007	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7234	13611	13617	7958	7964	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7237	13611	13617	9975	9981	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7238	13611	13617	9685	9691	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7240	13611	13617	9583	9589	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7244	13611	13617	9436	9442	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7245	13611	13617	9900	9906	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7260	13611	13617	9824	9830	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7291	13611	13617	9617	9623	22	7mer-1a	x	7mer-1a	7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 28584 29029 29030 30023 30025 30033 42026 125945 1041015		0
FBtr0452138	let-7-5p	7070	448	453	396	401	23	6mer	x	6mer	7070 7460		1
FBtr0452138	let-7-5p	7460	448	453	346	351	23	6mer	x	6mer	7070 7460		1
FBtr0452138	let-7-5p	7222	17757	17770	11410	11416	24	7mer-1a	x	7mer-1a+6mer	7222 7244	7222	0
FBtr0452138	let-7-5p	7244	17757	17762	11470	11475	24	6mer	x	7mer-1a+6mer	7222 7244	7222 7244	0
FBtr0452138	let-7-5p	7229	20328	20333	13465	13470	25	6mer	x	6mer	7229 7234 7237		0
FBtr0452138	let-7-5p	7234	20328	20333	11335	11340	25	6mer	x	6mer	7229 7234 7237		0
FBtr0452138	let-7-5p	7237	20328	20333	13462	13467	25	6mer	x	6mer	7229 7234 7237		0
FBtr0452138	let-7-5p	7070	4366	4371	3079	3084	26	6mer	x	6mer	7070		1
FBtr0452138	let-7-5p	7070	4623	4628	3333	3338	27	6mer	x	6mer	7070		1
FBtr0452138	let-7-5p	7165	9322	9327	6508	6513	28	6mer	x	6mer	7165		1
FBtr0452138	let-7-5p	7165	9757	9762	6796	6801	29	6mer	x	6mer	7165		1
FBtr0452138	let-7-5p	7222	17750	17756	11403	11409	30	7mer-1a	x	7mer-1a	7222		0
FBtr0452138	let-7-5p	7260	1605	1611	1360	1366	31	7mer-1a	x	7mer-1a	7260		1
FBtr0452138	let-7-5p	7260	6623	6629	5846	5852	32	7mer-m8	x	7mer-m8	7260		1
FBtr0452138	let-7-5p	7370	8361	8366	6730	6735	33	6mer	x	6mer	7370		1
FBtr0452138	miR-1-3p	1041015	2161	2169	1678	1683	34	6mer	x	6mer	7238 7240 1041015		1
FBtr0452138	miR-1-3p	7238	2161	2169	1676	1681	34	6mer	x	6mer	7238 7240 1041015		1
FBtr0452138	miR-1-3p	7240	2161	2169	1678	1683	34	6mer	x	6mer	7238 7240 1041015		1
FBtr0452138	miR-1-3p	1041015	5299	5305	4355	4361	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	125945	5299	5305	4462	4468	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	28584	5299	5305	3932	3938	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	29029	5299	5305	4450	4456	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	29030	5299	5305	4486	4492	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30023	5299	5305	4489	4495	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30025	5299	5305	4056	4062	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30033	5299	5305	4519	4525	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	42026	5299	5305	4504	4510	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7165	5299	5305	4380	4386	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7217	5299	5305	4519	4525	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7220	5299	5305	4468	4474	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7227	5299	5305	4459	4465	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7229	5299	5305	4531	4537	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7234	5299	5305	4336	4342	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7237	5299	5305	4525	4531	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7238	5299	5305	4457	4463	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7240	5299	5305	4315	4321	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7245	5299	5305	4480	4486	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7260	5299	5305	4601	4607	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7460	5299	5305	3421	3427	35	7mer-m8	x	7mer-m8	7165 7217 7220 7227 7229 7234 7237 7238 7240 7245 7260 7460 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	1041015	5356	5363	4412	4419	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	125945	5356	5363	4519	4526	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	28584	5356	5363	3989	3996	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	29029	5356	5363	4507	4514	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	29030	5356	5363	4543	4550	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30023	5356	5363	4546	4553	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30025	5356	5363	4113	4120	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	30033	5356	5363	4576	4583	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	42026	5356	5363	4561	4568	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7165	5356	5363	4437	4444	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7217	5356	5363	4576	4583	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7220	5356	5363	4525	4532	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7222	5356	5363	4486	4493	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
FBtr0452138	miR-1-3p	7227	5356	5363	4516	4523	36	8mer-1a	x	8mer-1a	7165 7217 7220 7222 7227 7229 7234 7237 7238 7240 7244 7245 7260 7291 7370 28584 29029 29030 30023 30025 30033 42026 125945 1041015		1
